name,state_name,state_id,id
Banda Aceh,Aceh,1822,56193
Bireun,Aceh,1822,56223
Kabupaten Aceh Barat,Aceh,1822,56307
Kabupaten Aceh Barat Daya,Aceh,1822,56308
Kabupaten Aceh Besar,Aceh,1822,56309
Kabupaten Aceh Jaya,Aceh,1822,56310
Kabupaten Aceh Selatan,Aceh,1822,56311
Kabupaten Aceh Singkil,Aceh,1822,56312
Kabupaten Aceh Tamiang,Aceh,1822,56313
Kabupaten Aceh Tengah,Aceh,1822,56314
Kabupaten Aceh Tenggara,Aceh,1822,56315
Kabupaten Aceh Timur,Aceh,1822,56316
Kabupaten Aceh Utara,Aceh,1822,56317
Kabupaten Bener Meriah,Aceh,1822,56353
Kabupaten Bireuen,Aceh,1822,56362
Kabupaten Gayo Lues,Aceh,1822,56408
Kabupaten Nagan Raya,Aceh,1822,56552
Kabupaten Pidie,Aceh,1822,56593
Kabupaten Simeulue,Aceh,1822,56634
Kota Banda Aceh,Aceh,1822,56729
Kota Langsa,Aceh,1822,56761
Kota Lhokseumawe,Aceh,1822,56762
Kota Sabang,Aceh,1822,56791
Kota Subulussalam,Aceh,1822,56800
Langsa,Aceh,1822,56837
Lhokseumawe,Aceh,1822,56844
Meulaboh,Aceh,1822,56872
Reuleuet,Aceh,1822,56955
Sabang,Aceh,1822,56957
Sigli,Aceh,1822,56976
Sinabang,Aceh,1822,56979
Singkil,Aceh,1822,56982
Amlapura,Bali,1826,56179
Amlapura city,Bali,1826,56180
Banjar,Bali,1826,56200
Banjar Wangsian,Bali,1826,56201
Bedugul,Bali,1826,56213
Denpasar,Bali,1826,56263
Jimbaran,Bali,1826,56302
Kabupaten Badung,Bali,1826,56322
Kabupaten Bangli,Bali,1826,56334
Kabupaten Buleleng,Bali,1826,56379
Kabupaten Gianyar,Bali,1826,56409
Kabupaten Jembrana,Bali,1826,56431
Kabupaten Karang Asem,Bali,1826,56438
Kabupaten Klungkung,Bali,1826,56460
Kabupaten Tabanan,Bali,1826,56658
Klungkung,Bali,1826,56720
Kota Denpasar,Bali,1826,56750
Kuta,Bali,1826,56827
Legian,Bali,1826,56841
Lovina,Bali,1826,56846
Munduk,Bali,1826,56879
Negara,Bali,1826,56884
Nusa Dua,Bali,1826,56890
Seririt,Bali,1826,56970
Singaraja,Bali,1826,56981
Tabanan,Bali,1826,57013
Ubud,Bali,1826,57046
Curug,Banten,1810,56257
Kabupaten Lebak,Banten,1810,56491
Kabupaten Pandeglang,Banten,1810,56574
Kabupaten Serang,Banten,1810,56623
Kabupaten Tangerang,Banten,1810,56666
Kota Cilegon,Banten,1810,56747
Kota Serang,Banten,1810,56796
Kota Tangerang,Banten,1810,56805
Kota Tangerang Selatan,Banten,1810,56806
Labuan,Banten,1810,56829
Pandeglang,Banten,1810,56909
Rangkasbitung,Banten,1810,56950
Serang,Banten,1810,56969
South Tangerang,Banten,1810,56996
Tangerang,Banten,1810,57014
Bengkulu,Bengkulu,1793,56217
Curup,Bengkulu,1793,56258
Kabupaten Bengkulu Selatan,Bengkulu,1793,56355
Kabupaten Bengkulu Tengah,Bengkulu,1793,56356
Kabupaten Bengkulu Utara,Bengkulu,1793,56357
Kabupaten Kaur,Bengkulu,1793,56444
Kabupaten Kepahiang,Bengkulu,1793,56449
Kabupaten Lebong,Bengkulu,1793,56492
Kabupaten Mukomuko,Bengkulu,1793,56544
Kabupaten Rejang Lebong,Bengkulu,1793,56609
Kabupaten Seluma,Bengkulu,1793,56619
Kota Bengkulu,Bengkulu,1793,56739
Bambanglipuro,DI Yogyakarta,1829,56192
Bantul,DI Yogyakarta,1829,56204
Depok,DI Yogyakarta,1829,56264
Gamping Lor,DI Yogyakarta,1829,56276
Godean,DI Yogyakarta,1829,56282
Kabupaten Bantul,DI Yogyakarta,1829,56338
Kabupaten Gunung Kidul,DI Yogyakarta,1829,56414
Kabupaten Kulon Progo,DI Yogyakarta,1829,56473
Kabupaten Sleman,DI Yogyakarta,1829,56637
Kasihan,DI Yogyakarta,1829,56702
Kota Yogyakarta,DI Yogyakarta,1829,56816
Melati,DI Yogyakarta,1829,56868
Pandak,DI Yogyakarta,1829,56908
Pundong,DI Yogyakarta,1829,56943
Sewon,DI Yogyakarta,1829,56972
Sleman,DI Yogyakarta,1829,56988
Srandakan,DI Yogyakarta,1829,56998
Yogyakarta,DI Yogyakarta,1829,57061
Jakarta,DKI Jakarta,1805,56293
Kota Administrasi Jakarta Barat,DKI Jakarta,1805,56722
Kota Administrasi Jakarta Pusat,DKI Jakarta,1805,56723
Kota Administrasi Jakarta Selatan,DKI Jakarta,1805,56724
Kota Administrasi Jakarta Timur,DKI Jakarta,1805,56725
Kota Administrasi Jakarta Utara,DKI Jakarta,1805,56726
Gorontalo,Gorontalo,1812,56285
Kabupaten Boalemo,Gorontalo,1812,56365
Kabupaten Bone Bolango,Gorontalo,1812,56375
Kabupaten Gorontalo,Gorontalo,1812,56410
Kabupaten Gorontalo Utara,Gorontalo,1812,56411
Kabupaten Pohuwato,Gorontalo,1812,56595
Kota Gorontalo,Gorontalo,1812,56753
Bejubang Dua,Jambi,1815,56214
Jambi City,Jambi,1815,56294
Kabupaten Batang Hari,Jambi,1815,56347
Kabupaten Bungo,Jambi,1815,56382
Kabupaten Kerinci,Jambi,1815,56458
Kabupaten Merangin,Jambi,1815,56532
Kabupaten Muaro Jambi,Jambi,1815,56543
Kabupaten Sarolangun,Jambi,1815,56618
Kabupaten Tanjung Jabung Barat,Jambi,1815,56668
Kabupaten Tanjung Jabung Timur,Jambi,1815,56669
Kabupaten Tebo,Jambi,1815,56675
Kota Jambi,Jambi,1815,56755
Kota Sungai Penuh,Jambi,1815,56802
Kuala Tungkal,Jambi,1815,56822
Mendaha,Jambi,1815,56869
Simpang,Jambi,1815,56978
Sungai Penuh,Jambi,1815,57008
Arjawinangun,Jawa Barat,1825,56182
Astanajapura,Jawa Barat,1825,56183
Bandung,Jawa Barat,1825,56196
Banjar,Jawa Barat,1825,56199
Banjaran,Jawa Barat,1825,56202
Bekasi,Jawa Barat,1825,56215
Bogor,Jawa Barat,1825,56226
Caringin,Jawa Barat,1825,56237
Ciamis,Jawa Barat,1825,56240
Ciampea,Jawa Barat,1825,56241
Cibinong,Jawa Barat,1825,56242
Cicurug,Jawa Barat,1825,56243
Cikampek,Jawa Barat,1825,56244
Cikarang,Jawa Barat,1825,56245
Cikupa,Jawa Barat,1825,56246
Cileungsir,Jawa Barat,1825,56247
Cileunyi,Jawa Barat,1825,56248
Cimahi,Jawa Barat,1825,56249
Ciputat,Jawa Barat,1825,56250
Ciranjang-hilir,Jawa Barat,1825,56251
Cirebon,Jawa Barat,1825,56252
Citeureup,Jawa Barat,1825,56253
Depok,Jawa Barat,1825,56265
Indramayu,Jawa Barat,1825,56291
Jatibarang,Jawa Barat,1825,56296
Jatiwangi,Jawa Barat,1825,56298
Kabupaten Bandung,Jawa Barat,1825,56324
Kabupaten Bandung Barat,Jawa Barat,1825,56325
Kabupaten Bekasi,Jawa Barat,1825,56349
Kabupaten Bogor,Jawa Barat,1825,56366
Kabupaten Ciamis,Jawa Barat,1825,56390
Kabupaten Cianjur,Jawa Barat,1825,56391
Kabupaten Cirebon,Jawa Barat,1825,56393
Kabupaten Garut,Jawa Barat,1825,56407
Kabupaten Indramayu,Jawa Barat,1825,56426
Kabupaten Karawang,Jawa Barat,1825,56440
Kabupaten Kuningan,Jawa Barat,1825,56474
Kabupaten Majalengka,Jawa Barat,1825,56508
Kabupaten Pangandaran,Jawa Barat,1825,56575
Kabupaten Purwakarta,Jawa Barat,1825,56606
Kabupaten Subang,Jawa Barat,1825,56644
Kabupaten Sukabumi,Jawa Barat,1825,56645
Kabupaten Sumedang,Jawa Barat,1825,56654
Kabupaten Tasikmalaya,Jawa Barat,1825,56674
Karangampel,Jawa Barat,1825,56698
Karangsembung,Jawa Barat,1825,56700
Kawalu,Jawa Barat,1825,56704
Klangenan,Jawa Barat,1825,56718
Kota Bandung,Jawa Barat,1825,56731
Kota Banjar,Jawa Barat,1825,56732
Kota Bekasi,Jawa Barat,1825,56738
Kota Bogor,Jawa Barat,1825,56744
Kota Cimahi,Jawa Barat,1825,56748
Kota Cirebon,Jawa Barat,1825,56749
Kota Depok,Jawa Barat,1825,56751
Kota Sukabumi,Jawa Barat,1825,56801
Kota Tasikmalaya,Jawa Barat,1825,56809
Kresek,Jawa Barat,1825,56819
Kuningan,Jawa Barat,1825,56825
Lembang,Jawa Barat,1825,56842
Majalengka,Jawa Barat,1825,56852
Margahayukencana,Jawa Barat,1825,56861
Ngawi,Jawa Barat,1825,56886
Padalarang,Jawa Barat,1825,56892
Palimanan,Jawa Barat,1825,56899
Pamanukan,Jawa Barat,1825,56902
Pameungpeuk,Jawa Barat,1825,56904
Pamulang,Jawa Barat,1825,56905
Parung,Jawa Barat,1825,56918
Pasarkemis,Jawa Barat,1825,56919
Paseh,Jawa Barat,1825,56920
Pelabuhanratu,Jawa Barat,1825,56928
Plumbon,Jawa Barat,1825,56934
Purwakarta,Jawa Barat,1825,56945
Rajapolah,Jawa Barat,1825,56948
Rengasdengklok,Jawa Barat,1825,56954
Sawangan,Jawa Barat,1825,56962
Sepatan,Jawa Barat,1825,56968
Serpong,Jawa Barat,1825,56971
Singaparna,Jawa Barat,1825,56980
Soreang,Jawa Barat,1825,56994
Sukabumi,Jawa Barat,1825,57001
Sumber,Jawa Barat,1825,57003
Sumedang,Jawa Barat,1825,57005
Sumedang Utara,Jawa Barat,1825,57006
Tasikmalaya,Jawa Barat,1825,57025
Teluknaga,Jawa Barat,1825,57030
Wanaraja,Jawa Barat,1825,57050
Weru,Jawa Barat,1825,57056
Adiwerna,Jawa Tengah,1802,56174
Ambarawa,Jawa Tengah,1802,56176
Baekrajan,Jawa Tengah,1802,56186
Baki,Jawa Tengah,1802,56187
Balapulang,Jawa Tengah,1802,56189
Banyumas,Jawa Tengah,1802,56205
