,subdivision_id,division_id,name,local_name
0,56193,2,Banda Aceh,Banda Aceh
1,56223,2,Bireun,Bireun
2,56307,2,Kabupaten Aceh Barat,Kabupaten Aceh Barat
3,56308,2,Kabupaten Aceh Barat Daya,Kabupaten Aceh Barat Daya
4,56309,2,Kabupaten Aceh Besar,Kabupaten Aceh Besar
5,56310,2,Kabupaten Aceh Jaya,Kabupaten Aceh Jaya
6,56311,2,Kabupaten Aceh Selatan,Kabupaten Aceh Selatan
7,56312,2,Kabupaten Aceh Singkil,Kabupaten Aceh Singkil
8,56313,2,Kabupaten Aceh Tamiang,Kabupaten Aceh Tamiang
9,56314,2,Kabupaten Aceh Tengah,Kabupaten Aceh Tengah
10,56315,2,Kabupaten Aceh Tenggara,Kabupaten Aceh Tenggara
11,56316,2,Kabupaten Aceh Timur,Kabupaten Aceh Timur
12,56317,2,Kabupaten Aceh Utara,Kabupaten Aceh Utara
13,56353,2,Kabupaten Bener Meriah,Kabupaten Bener Meriah
14,56362,2,Kabupaten Bireuen,Kabupaten Bireuen
15,56408,2,Kabupaten Gayo Lues,Kabupaten Gayo Lues
16,56552,2,Kabupaten Nagan Raya,Kabupaten Nagan Raya
17,56593,2,Kabupaten Pidie,Kabupaten Pidie
18,56634,2,Kabupaten Simeulue,Kabupaten Simeulue
19,56729,2,Kota Banda Aceh,Kota Banda Aceh
20,56761,2,Kota Langsa,Kota Langsa
21,56762,2,Kota Lhokseumawe,Kota Lhokseumawe
22,56791,2,Kota Sabang,Kota Sabang
23,56800,2,Kota Subulussalam,Kota Subulussalam
24,56837,2,Langsa,Langsa
25,56844,2,Lhokseumawe,Lhokseumawe
26,56872,2,Meulaboh,Meulaboh
27,56955,2,Reuleuet,Reuleuet
28,56957,2,Sabang,Sabang
29,56976,2,Sigli,Sigli
30,56979,2,Sinabang,Sinabang
31,56982,2,Singkil,Singkil
32,56179,3,Amlapura,Amlapura
33,56180,3,Amlapura city,Amlapura city
34,56200,3,Banjar,Banjar
35,56201,3,Banjar Wangsian,Banjar Wangsian
36,56213,3,Bedugul,Bedugul
37,56263,3,Denpasar,Denpasar
38,56302,3,Jimbaran,Jimbaran
39,56322,3,Kabupaten Badung,Kabupaten Badung
40,56334,3,Kabupaten Bangli,Kabupaten Bangli
41,56379,3,Kabupaten Buleleng,Kabupaten Buleleng
42,56409,3,Kabupaten Gianyar,Kabupaten Gianyar
43,56431,3,Kabupaten Jembrana,Kabupaten Jembrana
44,56438,3,Kabupaten Karang Asem,Kabupaten Karang Asem
45,56460,3,Kabupaten Klungkung,Kabupaten Klungkung
46,56658,3,Kabupaten Tabanan,Kabupaten Tabanan
47,56720,3,Klungkung,Klungkung
48,56750,3,Kota Denpasar,Kota Denpasar
49,56827,3,Kuta,Kuta
50,56841,3,Legian,Legian
51,56846,3,Lovina,Lovina
52,56879,3,Munduk,Munduk
53,56884,3,Negara,Negara
54,56890,3,Nusa Dua,Nusa Dua
55,56970,3,Seririt,Seririt
56,56981,3,Singaraja,Singaraja
57,57013,3,Tabanan,Tabanan
58,57046,3,Ubud,Ubud
59,56257,5,Curug,Curug
